currentWord	currentWordCount	targetNodeAtt	chapterName
stand	3	Chapter Name	Jojos-part-5-ger-chapter-1
stand	1	Chapter Name	Jojos-part-5-ger-chapter-2
stand	2	Chapter Name	Jojos-part-5-ger-chapter-3
stand	1	Chapter Name	king-of-kings
move	8	Chapter Name	diavolo-emerges-part3
move	3	Chapter Name	diavolo_emerges_part1
move	4	Chapter Name	diavolo_emerges_part2
move	3	Chapter Name	Jojos-part-5-ger-chapter-2
move	4	Chapter Name	Jojos-part-5-ger-chapter-3
uagh	1	Chapter Name	diavolo-emerges-part3
uagh	1	Chapter Name	Jojos-part-5-ger-chapter-3
sticky	2	Chapter Name	diavolo-emerges-part3
fingers	2	Chapter Name	diavolo-emerges-part3
fingers	1	Chapter Name	Jojos-part-5-ger-chapter-3
daughter	1	Chapter Name	diavolo-emerges-part3
daughter	1	Chapter Name	diavolo-emerges-part4
daughter	1	Chapter Name	diavolo_emerges_part2
daughter	2	Chapter Name	king-of-kings
hadn't	1	Chapter Name	diavolo-emerges-part3
hadn't	1	Chapter Name	king-of-kings
brought	1	Chapter Name	diavolo-emerges-part3
brought	1	Chapter Name	diavolo-emerges-part5
brought	2	Chapter Name	diavolo_emerges_part1
discovered	2	Chapter Name	diavolo-emerges-part3
cornered	1	Chapter Name	diavolo-emerges-part3
cornered	1	Chapter Name	diavolo_emerges_part2
he's	6	Chapter Name	diavolo-emerges-part3
he's	2	Chapter Name	diavolo-emerges-part5
he's	3	Chapter Name	diavolo_emerges_part1
he's	11	Chapter Name	diavolo_emerges_part2
he's	1	Chapter Name	Jojos-part-5-ger-chapter-1
he's	2	Chapter Name	Jojos-part-5-ger-chapter-3
he's	1	Chapter Name	Jojos-part-5-ger-chapter-4
he's	4	Chapter Name	king-of-kings
gonna	2	Chapter Name	diavolo-emerges-part3
gonna	4	Chapter Name	diavolo_emerges_part1
gonna	1	Chapter Name	diavolo_emerges_part2
gonna	1	Chapter Name	Jojos-part-5-ger-chapter-1
gonna	2	Chapter Name	Jojos-part-5-ger-chapter-3
attack	4	Chapter Name	diavolo-emerges-part3
attack	2	Chapter Name	diavolo_emerges_part1
attack	1	Chapter Name	diavolo_emerges_part2
attack	6	Chapter Name	Jojos-part-5-ger-chapter-1
everyone	1	Chapter Name	diavolo-emerges-part3
everyone	1	Chapter Name	diavolo-emerges-part5
everyone	1	Chapter Name	diavolo_emerges_part1
everyone	2	Chapter Name	diavolo_emerges_part2
everyone	2	Chapter Name	Jojos-part-5-ger-chapter-1
together	1	Chapter Name	diavolo-emerges-part3
together	1	Chapter Name	diavolo_emerges_part1
split	1	Chapter Name	diavolo-emerges-part3
split	1	Chapter Name	diavolo-emerges-part5
split	1	Chapter Name	diavolo_emerges_part1
erase	1	Chapter Name	diavolo-emerges-part3
erase	1	Chapter Name	diavolo-emerges-part4
erase	2	Chapter Name	diavolo_emerges_part2
erase	2	Chapter Name	Jojos-part-5-ger-chapter-1
erase	4	Chapter Name	Jojos-part-5-ger-chapter-2
erase	2	Chapter Name	king-of-kings
time	8	Chapter Name	diavolo-emerges-part3
time	2	Chapter Name	diavolo-emerges-part4
time	1	Chapter Name	diavolo-emerges-part5
time	6	Chapter Name	diavolo_emerges_part1
time	5	Chapter Name	diavolo_emerges_part2
time	4	Chapter Name	Jojos-part-5-ger-chapter-1
time	5	Chapter Name	Jojos-part-5-ger-chapter-2
time	4	Chapter Name	Jojos-part-5-ger-chapter-3
time	2	Chapter Name	king-of-kings
huh	1	Chapter Name	diavolo-emerges-part3
huh	6	Chapter Name	diavolo_emerges_part1
huh	3	Chapter Name	diavolo_emerges_part2
huh	6	Chapter Name	Jojos-part-5-ger-chapter-3
huh	1	Chapter Name	king-of-kings
wh	20	Chapter Name	diavolo-emerges-part3
wh	7	Chapter Name	diavolo-emerges-part4
wh	8	Chapter Name	diavolo-emerges-part5
wh	29	Chapter Name	diavolo_emerges_part1
wh	18	Chapter Name	diavolo_emerges_part2
wh	8	Chapter Name	Jojos-part-5-ger-chapter-1
wh	14	Chapter Name	Jojos-part-5-ger-chapter-2
wh	40	Chapter Name	Jojos-part-5-ger-chapter-3
wh	3	Chapter Name	Jojos-part-5-ger-chapter-4
wh	16	Chapter Name	king-of-kings
wha	7	Chapter Name	diavolo-emerges-part3
wha	6	Chapter Name	diavolo-emerges-part4
wha	5	Chapter Name	diavolo-emerges-part5
wha	15	Chapter Name	diavolo_emerges_part1
wha	4	Chapter Name	diavolo_emerges_part2
wha	5	Chapter Name	Jojos-part-5-ger-chapter-1
wha	9	Chapter Name	Jojos-part-5-ger-chapter-2
wha	23	Chapter Name	Jojos-part-5-ger-chapter-3
wha	2	Chapter Name	Jojos-part-5-ger-chapter-4
wha	4	Chapter Name	king-of-kings
turning	1	Chapter Name	diavolo-emerges-part3
turning	2	Chapter Name	diavolo_emerges_part1
attacking	3	Chapter Name	diavolo-emerges-part3
running	3	Chapter Name	diavolo-emerges-part3
running	1	Chapter Name	diavolo_emerges_part1
running	1	Chapter Name	king-of-kings
away	1	Chapter Name	diavolo-emerges-part3
away	1	Chapter Name	diavolo-emerges-part5
away	8	Chapter Name	diavolo_emerges_part1
away	2	Chapter Name	Jojos-part-5-ger-chapter-3
away	6	Chapter Name	king-of-kings
without	2	Chapter Name	diavolo-emerges-part3
way	4	Chapter Name	diavolo-emerges-part3
way	1	Chapter Name	diavolo-emerges-part4
way	2	Chapter Name	diavolo-emerges-part5
way	16	Chapter Name	diavolo_emerges_part1
way	3	Chapter Name	diavolo_emerges_part2
way	3	Chapter Name	Jojos-part-5-ger-chapter-3
way	7	Chapter Name	king-of-kings
knows	6	Chapter Name	diavolo-emerges-part3
knows	1	Chapter Name	Jojos-part-5-ger-chapter-2
knows	1	Chapter Name	king-of-kings
method	8	Chapter Name	diavolo-emerges-part3
arrow	14	Chapter Name	diavolo-emerges-part3
arrow	14	Chapter Name	diavolo-emerges-part4
arrow	8	Chapter Name	diavolo-emerges-part5
arrow	18	Chapter Name	diavolo_emerges_part1
arrow	12	Chapter Name	diavolo_emerges_part2
arrow	14	Chapter Name	Jojos-part-5-ger-chapter-1
arrow	2	Chapter Name	Jojos-part-5-ger-chapter-3
arrow	22	Chapter Name	king-of-kings
eh	3	Chapter Name	diavolo-emerges-part3
eh	3	Chapter Name	diavolo-emerges-part4
eh	2	Chapter Name	diavolo-emerges-part5
eh	1	Chapter Name	diavolo_emerges_part1
eh	1	Chapter Name	diavolo_emerges_part2
eh	1	Chapter Name	Jojos-part-5-ger-chapter-1
eh	9	Chapter Name	Jojos-part-5-ger-chapter-3
take	5	Chapter Name	diavolo-emerges-part3
take	1	Chapter Name	diavolo-emerges-part4
take	2	Chapter Name	diavolo-emerges-part5
take	1	Chapter Name	diavolo_emerges_part1
take	1	Chapter Name	diavolo_emerges_part2
take	1	Chapter Name	Jojos-part-5-ger-chapter-1
take	2	Chapter Name	Jojos-part-5-ger-chapter-2
take	6	Chapter Name	Jojos-part-5-ger-chapter-3
requiem	9	Chapter Name	diavolo-emerges-part3
requiem	3	Chapter Name	diavolo-emerges-part4
requiem	3	Chapter Name	diavolo-emerges-part5
requiem	18	Chapter Name	diavolo_emerges_part1
requiem	1	Chapter Name	diavolo_emerges_part2
requiem	8	Chapter Name	Jojos-part-5-ger-chapter-1
requiem	5	Chapter Name	Jojos-part-5-ger-chapter-2
requiem	7	Chapter Name	Jojos-part-5-ger-chapter-3
requiem	1	Chapter Name	Jojos-part-5-ger-chapter-4
requiem	1	Chapter Name	king-of-kings
boss	1	Chapter Name	diavolo-emerges-part3
boss	1	Chapter Name	diavolo-emerges-part5
boss	4	Chapter Name	diavolo_emerges_part1
boss	7	Chapter Name	diavolo_emerges_part2
boss	4	Chapter Name	Jojos-part-5-ger-chapter-1
boss	1	Chapter Name	Jojos-part-5-ger-chapter-3
already	3	Chapter Name	diavolo-emerges-part3
already	1	Chapter Name	diavolo-emerges-part4
already	3	Chapter Name	diavolo_emerges_part1
already	1	Chapter Name	Jojos-part-5-ger-chapter-3
already	1	Chapter Name	Jojos-part-5-ger-chapter-4
observed	1	Chapter Name	diavolo-emerges-part3
look	4	Chapter Name	diavolo-emerges-part3
look	2	Chapter Name	diavolo-emerges-part5
look	2	Chapter Name	diavolo_emerges_part1
look	3	Chapter Name	Jojos-part-5-ger-chapter-1
look	2	Chapter Name	Jojos-part-5-ger-chapter-2
look	3	Chapter Name	Jojos-part-5-ger-chapter-3
don't	7	Chapter Name	diavolo-emerges-part3
don't	1	Chapter Name	diavolo-emerges-part4
don't	1	Chapter Name	diavolo-emerges-part5
don't	7	Chapter Name	diavolo_emerges_part1
don't	1	Chapter Name	diavolo_emerges_part2
don't	3	Chapter Name	Jojos-part-5-ger-chapter-1
don't	3	Chapter Name	Jojos-part-5-ger-chapter-3
don't	1	Chapter Name	Jojos-part-5-ger-chapter-4
don't	3	Chapter Name	king-of-kings
takes	4	Chapter Name	diavolo-emerges-part3
priority	2	Chapter Name	diavolo-emerges-part3
shoot	5	Chapter Name	diavolo-emerges-part3
shoot	1	Chapter Name	diavolo-emerges-part4
can't	5	Chapter Name	diavolo-emerges-part3
can't	1	Chapter Name	diavolo-emerges-part4
can't	2	Chapter Name	diavolo_emerges_part1
can't	4	Chapter Name	diavolo_emerges_part2
can't	5	Chapter Name	Jojos-part-5-ger-chapter-3
can't	1	Chapter Name	king-of-kings
let	5	Chapter Name	diavolo-emerges-part3
let	6	Chapter Name	diavolo-emerges-part4
let	3	Chapter Name	diavolo-emerges-part5
let	2	Chapter Name	diavolo_emerges_part1
let	4	Chapter Name	diavolo_emerges_part2
let	2	Chapter Name	Jojos-part-5-ger-chapter-1
let	2	Chapter Name	Jojos-part-5-ger-chapter-3
let	5	Chapter Name	Jojos-part-5-ger-chapter-4
let	2	Chapter Name	king-of-kings
first	4	Chapter Name	diavolo-emerges-part3
first	2	Chapter Name	diavolo_emerges_part1
first	4	Chapter Name	diavolo_emerges_part2
waste	2	Chapter Name	diavolo-emerges-part3
any	4	Chapter Name	diavolo-emerges-part3
any	1	Chapter Name	diavolo-emerges-part4
any	6	Chapter Name	diavolo_emerges_part1
any	8	Chapter Name	diavolo_emerges_part2
any	7	Chapter Name	Jojos-part-5-ger-chapter-3
any	1	Chapter Name	king-of-kings
it's	4	Chapter Name	diavolo-emerges-part3
it's	3	Chapter Name	diavolo-emerges-part4
it's	1	Chapter Name	diavolo-emerges-part5
it's	6	Chapter Name	diavolo_emerges_part1
it's	8	Chapter Name	diavolo_emerges_part2
it's	2	Chapter Name	Jojos-part-5-ger-chapter-1
it's	2	Chapter Name	Jojos-part-5-ger-chapter-2
it's	1	Chapter Name	Jojos-part-5-ger-chapter-3
it's	1	Chapter Name	king-of-kings
own	7	Chapter Name	diavolo-emerges-part3
own	2	Chapter Name	diavolo-emerges-part4
own	1	Chapter Name	diavolo-emerges-part5
own	4	Chapter Name	diavolo_emerges_part1
own	2	Chapter Name	diavolo_emerges_part2
own	1	Chapter Name	Jojos-part-5-ger-chapter-1
own	1	Chapter Name	Jojos-part-5-ger-chapter-2
own	2	Chapter Name	Jojos-part-5-ger-chapter-3
own	3	Chapter Name	king-of-kings
i've	1	Chapter Name	diavolo-emerges-part3
i've	1	Chapter Name	diavolo_emerges_part1
i've	2	Chapter Name	diavolo_emerges_part2
i've	1	Chapter Name	Jojos-part-5-ger-chapter-1
that's	2	Chapter Name	diavolo-emerges-part3
that's	3	Chapter Name	diavolo_emerges_part1
that's	2	Chapter Name	diavolo_emerges_part2
that's	7	Chapter Name	Jojos-part-5-ger-chapter-1
that's	1	Chapter Name	Jojos-part-5-ger-chapter-2
that's	1	Chapter Name	king-of-kings
fired	2	Chapter Name	diavolo-emerges-part3
buc-cellati	1	Chapter Name	diavolo-emerges-part3
six	1	Chapter Name	diavolo-emerges-part3
shots	1	Chapter Name	diavolo-emerges-part3
seems	1	Chapter Name	diavolo-emerges-part3
seems	1	Chapter Name	diavolo-emerges-part5
skipping	1	Chapter Name	diavolo-emerges-part3
erasing	1	Chapter Name	diavolo-emerges-part3
forcasted	1	Chapter Name	diavolo-emerges-part3
trajectories	1	Chapter Name	diavolo-emerges-part3
bullets	1	Chapter Name	diavolo-emerges-part3
bullets	5	Chapter Name	diavolo-emerges-part4
bullets	1	Chapter Name	diavolo-emerges-part5
bullets	1	Chapter Name	diavolo_emerges_part1
stop	2	Chapter Name	diavolo-emerges-part3
stop	1	Chapter Name	diavolo-emerges-part4
stop	2	Chapter Name	diavolo-emerges-part5
stop	3	Chapter Name	diavolo_emerges_part1
stop	3	Chapter Name	diavolo_emerges_part2
stop	1	Chapter Name	Jojos-part-5-ger-chapter-3
stop	2	Chapter Name	Jojos-part-5-ger-chapter-4
stop	1	Chapter Name	king-of-kings
care	2	Chapter Name	diavolo-emerges-part3
catches	2	Chapter Name	diavolo-emerges-part3
lose	2	Chapter Name	diavolo-emerges-part3
lose	2	Chapter Name	diavolo-emerges-part4
lose	1	Chapter Name	diavolo-emerges-part5
lose	9	Chapter Name	diavolo_emerges_part1
lose	7	Chapter Name	diavolo_emerges_part2
lose	1	Chapter Name	king-of-kings
every	5	Chapter Name	diavolo-emerges-part3
every	2	Chapter Name	diavolo-emerges-part5
every	3	Chapter Name	diavolo_emerges_part1
every	3	Chapter Name	diavolo_emerges_part2
every	5	Chapter Name	Jojos-part-5-ger-chapter-1
every	1	Chapter Name	Jojos-part-5-ger-chapter-3
every	1	Chapter Name	Jojos-part-5-ger-chapter-4
last	2	Chapter Name	diavolo-emerges-part3
last	1	Chapter Name	diavolo_emerges_part1
last	1	Chapter Name	Jojos-part-5-ger-chapter-3
last	5	Chapter Name	Jojos-part-5-ger-chapter-4
detail	1	Chapter Name	diavolo-emerges-part3
forecasted	1	Chapter Name	diavolo-emerges-part3
movement	2	Chapter Name	diavolo-emerges-part3
knew	1	Chapter Name	diavolo-emerges-part3
knew	1	Chapter Name	diavolo-emerges-part5
where	3	Chapter Name	diavolo-emerges-part3
where	1	Chapter Name	diavolo-emerges-part4
where	5	Chapter Name	diavolo_emerges_part1
where	1	Chapter Name	diavolo_emerges_part2
where	2	Chapter Name	Jojos-part-5-ger-chapter-2
where	15	Chapter Name	Jojos-part-5-ger-chapter-3
where	1	Chapter Name	Jojos-part-5-ger-chapter-4
where	1	Chapter Name	king-of-kings
steel	1	Chapter Name	diavolo-emerges-part3
pipe	1	Chapter Name	diavolo-emerges-part3
fall	1	Chapter Name	diavolo-emerges-part3
fall	2	Chapter Name	Jojos-part-5-ger-chapter-3
fall	2	Chapter Name	king-of-kings
known	1	Chapter Name	diavolo-emerges-part3
known	2	Chapter Name	diavolo_emerges_part1
known	1	Chapter Name	Jojos-part-5-ger-chapter-3
known	1	Chapter Name	king-of-kings
pistols	1	Chapter Name	diavolo-emerges-part3
pistols	2	Chapter Name	diavolo-emerges-part4
pistols	2	Chapter Name	diavolo_emerges_part1
still	2	Chapter Name	diavolo-emerges-part3
still	3	Chapter Name	diavolo_emerges_part1
still	2	Chapter Name	Jojos-part-5-ger-chapter-2
still	7	Chapter Name	Jojos-part-5-ger-chapter-3
still	2	Chapter Name	Jojos-part-5-ger-chapter-4
chase	2	Chapter Name	diavolo-emerges-part3
chase	1	Chapter Name	diavolo_emerges_part1
chase	2	Chapter Name	diavolo_emerges_part2
down	2	Chapter Name	diavolo-emerges-part3
down	1	Chapter Name	diavolo-emerges-part4
down	1	Chapter Name	diavolo_emerges_part1
shadow	19	Chapter Name	diavolo-emerges-part3
shadow	4	Chapter Name	diavolo_emerges_part1
requiem's	3	Chapter Name	diavolo-emerges-part3
requiem's	4	Chapter Name	diavolo_emerges_part1
requiem's	3	Chapter Name	Jojos-part-5-ger-chapter-3
requiem's	1	Chapter Name	king-of-kings
secret	3	Chapter Name	diavolo-emerges-part3
secret	3	Chapter Name	diavolo_emerges_part1
anyone	1	Chapter Name	diavolo-emerges-part3
anyone	1	Chapter Name	diavolo-emerges-part4
anyone	1	Chapter Name	diavolo_emerges_part1
anyone	2	Chapter Name	Jojos-part-5-ger-chapter-3
touch	1	Chapter Name	diavolo-emerges-part3
touch	2	Chapter Name	diavolo-emerges-part4
touch	2	Chapter Name	diavolo_emerges_part2
behind	2	Chapter Name	diavolo-emerges-part3
behind	3	Chapter Name	diavolo-emerges-part4
behind	2	Chapter Name	diavolo-emerges-part5
behind	1	Chapter Name	diavolo_emerges_part2
within	1	Chapter Name	diavolo-emerges-part3
within	2	Chapter Name	diavolo_emerges_part2
within	2	Chapter Name	Jojos-part-5-ger-chapter-2
long	2	Chapter Name	diavolo-emerges-part3
long	1	Chapter Name	Jojos-part-5-ger-chapter-1
long	2	Chapter Name	Jojos-part-5-ger-chapter-3
i'm	2	Chapter Name	diavolo-emerges-part3
i'm	2	Chapter Name	diavolo-emerges-part4
i'm	3	Chapter Name	diavolo-emerges-part5
i'm	5	Chapter Name	diavolo_emerges_part1
i'm	4	Chapter Name	diavolo_emerges_part2
i'm	2	Chapter Name	Jojos-part-5-ger-chapter-1
i'm	1	Chapter Name	Jojos-part-5-ger-chapter-3
wrong	1	Chapter Name	diavolo-emerges-part3
wrong	1	Chapter Name	diavolo-emerges-part5
wrong	2	Chapter Name	king-of-kings
moving	1	Chapter Name	diavolo-emerges-part3
always	1	Chapter Name	diavolo-emerges-part3
always	3	Chapter Name	diavolo_emerges_part1
opposite	1	Chapter Name	diavolo-emerges-part3
moves	2	Chapter Name	diavolo-emerges-part3
relation	1	Chapter Name	diavolo-emerges-part3
sun	1	Chapter Name	diavolo-emerges-part3
sun	1	Chapter Name	diavolo_emerges_part1
right	2	Chapter Name	diavolo-emerges-part3
right	1	Chapter Name	diavolo-emerges-part5
right	13	Chapter Name	diavolo_emerges_part1
right	8	Chapter Name	diavolo_emerges_part2
right	3	Chapter Name	Jojos-part-5-ger-chapter-1
right	3	Chapter Name	Jojos-part-5-ger-chapter-4
right	2	Chapter Name	king-of-kings
left	1	Chapter Name	diavolo-emerges-part3
left	1	Chapter Name	king-of-kings
front	2	Chapter Name	diavolo-emerges-part3
means	2	Chapter Name	diavolo-emerges-part3
men	3	Chapter Name	diavolo-emerges-part3
men	1	Chapter Name	diavolo_emerges_part1
men	2	Chapter Name	diavolo_emerges_part2
men	2	Chapter Name	Jojos-part-5-ger-chapter-1
men	2	Chapter Name	Jojos-part-5-ger-chapter-2
ground	1	Chapter Name	diavolo-emerges-part3
ground	1	Chapter Name	Jojos-part-5-ger-chapter-1
ground	2	Chapter Name	Jojos-part-5-ger-chapter-3
ground	1	Chapter Name	king-of-kings
man	2	Chapter Name	diavolo-emerges-part3
man	1	Chapter Name	diavolo-emerges-part5
man	3	Chapter Name	diavolo_emerges_part1
man	3	Chapter Name	diavolo_emerges_part2
man	4	Chapter Name	Jojos-part-5-ger-chapter-3
man	1	Chapter Name	Jojos-part-5-ger-chapter-4
man	1	Chapter Name	king-of-kings
see	4	Chapter Name	diavolo-emerges-part3
see	2	Chapter Name	diavolo-emerges-part5
see	8	Chapter Name	diavolo_emerges_part1
see	4	Chapter Name	Jojos-part-5-ger-chapter-1
see	2	Chapter Name	Jojos-part-5-ger-chapter-2
see	1	Chapter Name	Jojos-part-5-ger-chapter-3
see	2	Chapter Name	king-of-kings
pointing	2	Chapter Name	diavolo-emerges-part3
towards	1	Chapter Name	diavolo-emerges-part3
buccellati	1	Chapter Name	diavolo-emerges-part3
buccellati	1	Chapter Name	diavolo-emerges-part4
buccellati	6	Chapter Name	diavolo-emerges-part5
buccellati	5	Chapter Name	diavolo_emerges_part1
buccellati	1	Chapter Name	Jojos-part-5-ger-chapter-1
buccellati	2	Chapter Name	Jojos-part-5-ger-chapter-4
something	1	Chapter Name	diavolo-emerges-part3
something	2	Chapter Name	diavolo-emerges-part4
something	2	Chapter Name	diavolo-emerges-part5
something	2	Chapter Name	diavolo_emerges_part1
something	1	Chapter Name	Jojos-part-5-ger-chapter-1
something	3	Chapter Name	Jojos-part-5-ger-chapter-3
each	1	Chapter Name	diavolo-emerges-part3
each	1	Chapter Name	diavolo-emerges-part5
each	1	Chapter Name	diavolo_emerges_part1
each	1	Chapter Name	diavolo_emerges_part2
indi-vidual	1	Chapter Name	diavolo-emerges-part3
human	1	Chapter Name	diavolo-emerges-part3
human	1	Chapter Name	Jojos-part-5-ger-chapter-4
sees	1	Chapter Name	diavolo-emerges-part3
separately	1	Chapter Name	diavolo-emerges-part3
riddle	1	Chapter Name	diavolo-emerges-part3
souls	4	Chapter Name	diavolo-emerges-part3
souls	1	Chapter Name	diavolo-emerges-part5
souls	1	Chapter Name	diavolo_emerges_part1
souls	1	Chapter Name	Jojos-part-5-ger-chapter-1
personal	1	Chapter Name	diavolo-emerges-part3
personal	4	Chapter Name	diavolo_emerges_part1
personal	1	Chapter Name	diavolo_emerges_part2
light	6	Chapter Name	diavolo-emerges-part3
somewhere	1	Chapter Name	diavolo-emerges-part3
cast	3	Chapter Name	diavolo-emerges-part3
cast	3	Chapter Name	diavolo-emerges-part4
cast	4	Chapter Name	Jojos-part-5-ger-chapter-1
cast	5	Chapter Name	Jojos-part-5-ger-chapter-2
cast	2	Chapter Name	Jojos-part-5-ger-chapter-3
cast	4	Chapter Name	king-of-kings
controlling	1	Chapter Name	diavolo-emerges-part3
itself	1	Chapter Name	diavolo-emerges-part3
meant	1	Chapter Name	diavolo-emerges-part3
meant	1	Chapter Name	Jojos-part-5-ger-chapter-2
myself	1	Chapter Name	diavolo-emerges-part3
myself	1	Chapter Name	diavolo_emerges_part1
myself	2	Chapter Name	Jojos-part-5-ger-chapter-1
myself	1	Chapter Name	Jojos-part-5-ger-chapter-3
